msno,city,bd,gender,registered_via,registration_init_time,expiration_date,membership_days,age_group,registration_year,reg_month,reg_weekday
zlqiIu6HQvHZde6tbEl8GqvByKg8YLd8+3JCIo11Jas=,13,22,male,3,2011-12-23,2017-10-05,2113,20s,2011,12,4
UFqJrrFq/hbZQQpbNyUqJt9kRTfDDlfCXjgTbdMuads=,5,27,unknown,9,2011-05-14,2017-09-26,2327,20s,2011,5,5
IgGT53YTuVr/MmfDckCLEcHqAYpdnAeUxNhwmeQmGkE=,22,28,female,9,2006-02-27,2017-06-15,4126,20s,2006,2,0
Xqs0LtqQbMsMhfEhghPC59FMwGyq7qHywTImBBHo/bU=,13,36,male,9,2011-10-04,2017-12-30,2279,30s,2011,10,1
OGSKEh5/x4scsOtVpQjonS0haoulsRTFAMB6iCwL3Hg=,22,16,male,9,2016-12-26,2016-12-29,3,10s,2016,12,0
7FD618MXS+EOsXXfoSDqlA1VulD3Meqaf8Vxv5jnll8=,1,18,male,3,2017-02-01,2017-02-04,3,10s,2017,2,2
YrozOFaasDW9Vcdct932d84XmsXQUFvh0vXu6Y9B7YQ=,15,24,female,3,2015-01-21,2017-06-16,877,20s,2015,1,2
oRCtyWz5ysNEkLxlS4r3UV+WSIqaPAL0c5/dO57XO9k=,5,24,female,9,2012-05-30,2016-12-12,1657,20s,2012,5,2
KbtIfkarr8I0N5RCWnjz3PeTLvXDC8kIqsV4rf+klbQ=,12,31,female,9,2010-06-24,2017-10-28,2683,30s,2010,6,3
nOdG7bi06dHyFBZGLyuJEdHrCIrB7K06je+rRN2iljw=,13,22,female,9,2015-03-03,2017-04-26,785,20s,2015,3,1
EzxJyaE5DwBMZ2rAM2WBHjqplg/IQASf9bEKvUZyA6o=,5,36,female,3,2015-03-25,2018-08-23,1247,30s,2015,3,2
gLjdb6p6RWlxCxw6BgWfv2nqR6pIUhEsU+7S+M1D5JM=,1,19,male,3,2016-03-01,2017-06-15,471,10s,2016,3,1
/6IOgXqB5Ol4y2B0K7tbVIwYIZSlAOgwM0dChwyeLDQ=,15,34,female,3,2015-04-02,2015-06-15,74,30s,2015,4,3
Kf8dmlFp1RT8SqK9GUiBa2Xv5YHtJVLHET2U4WJk8uw=,5,28,male,3,2015-06-09,2017-07-17,769,20s,2015,6,1
KV0H8qipF+Uz6tdv0qDWczQsUVYgLjP8Wdcxh1obfhQ=,8,19,female,7,2016-02-15,2017-09-14,577,10s,2016,2,0
3pokfza6olYCtvKRgc/yBqKt2qhLKobr9bDjviufNg0=,4,27,female,9,2011-05-27,2017-10-01,2319,20s,2011,5,4
n/HikzWz/Zvl6R6VBMBA3GNaIIQL/lMc/IHQ138qN0I=,11,16,male,9,2007-07-15,2017-10-03,3733,10s,2007,7,6
BWvJ7aCwc7jOSzVWVWgPhXpudfy+Erf1kdV+ek0HIvs=,10,30,male,9,2008-09-24,2017-10-21,3314,20s,2008,9,2
BbTX+aJDQaY39i0ygxp8gU2LgzM2aNHYONH6NCX5RjM=,12,33,female,4,2017-01-29,2017-08-14,197,30s,2017,1,6
Pa631Jvz/yHGsK3V1a8wESE3Anjs4qhKo1oVD7xEUhc=,3,28,female,9,2008-10-27,2015-09-22,2521,20s,2008,10,0
LkBDnzO64HlpsSLunPMlqsuf3y04C39CPS3J9KDjsUI=,5,27,female,4,2016-12-03,2017-09-07,278,20s,2016,12,5
inL3qryNOYpdDNBGqGIWge1kB50PGPu76TpPiFKmutc=,22,19,unknown,3,2012-11-10,2017-09-08,1763,10s,2012,11,5
y6xsk5xBgQLd28e6HZzhw51JhwxL3M4axvgsEExushc=,4,26,male,9,2010-09-28,2014-02-08,1229,20s,2010,9,1
8p3aBWMJHtyLb9d7wR64F4M5v1YcrKGJwZkm890c59w=,12,23,female,9,2014-10-26,2017-07-14,992,20s,2014,10,6
wNB4jyKgTUXhXzqMUgzzk/vbj8GMBtlFIal9i1miUY0=,5,28,female,3,2013-01-25,2017-08-04,1652,20s,2013,1,4
bt1ePJiNvXXnFr+i0+S8679NPJ6IbJvG0e/5f8sFazE=,14,28,male,9,2008-06-10,2017-09-10,3379,20s,2008,6,1
2xuMa2qS5A0/dj0qZw4LlGjfHqfaEZzZwCtFOcQb6zk=,8,20,female,3,2016-11-21,2017-09-30,313,10s,2016,11,0
T38EcH20VorijxjI4sW2S1u6ZrmKIiOudK++GB+Oq9M=,17,25,female,7,2012-01-07,2017-10-03,2096,20s,2012,1,5
GVkps3SwnFW5dBxAXk7afAn/gDzVA4zLcIQW7YnXWfc=,22,37,female,4,2016-03-04,2017-09-30,575,30s,2016,3,4
PVof1nDe8GtntT5W6flp8dVo7yspJ7tW1BsAROnt+6g=,5,26,male,7,2015-06-11,2017-09-16,828,20s,2015,6,3
ZeXB2Q5viR1xmEeVHlspuC74tXBo2j2iK4iNl9hekQo=,5,29,female,9,2015-07-01,2017-09-22,814,20s,2015,7,2
Z3r/uwG4CsHMZX5Ee0onA1aFu+bRiPxeUi3mY+sURSE=,15,34,female,3,2015-04-17,2017-04-17,731,30s,2015,4,4
y/fn/8jm0S69zhgKzfja7zrO0Sq+MJ/tJ/cvLfY3704=,12,19,female,9,2010-07-18,2017-09-17,2618,10s,2010,7,6
lRakVH4aMn9KNRY3syYqVz3YMcdr0ksIeXkZQB4fRQU=,9,61,male,9,2012-06-29,2017-09-30,1919,60s,2012,6,4
iCGhyekKsh4UpMRX8rWEHM3qLlYtkRmSGH0M/SOn5BE=,22,40,female,9,2011-06-14,2017-12-18,2379,30s,2011,6,1
ZWQPmThBL2g12bgzTteFuNIkBN1xYVqB2t2c5LhymOY=,4,47,male,9,2009-03-12,2017-10-02,3126,40s,2009,3,3
yceubnNlmlpv1VpNM0UOlEdCmSARdS4Jx8CNKzCcdP0=,4,19,male,3,2016-09-16,2017-10-04,383,10s,2016,9,4
r0rJvHyqOD8IiRIfFHoD06cIx3SDWD+hiPR7NUa61ic=,5,29,female,7,2011-11-27,2017-09-20,2124,20s,2011,11,6
Dfm9fICU3DqTPx6YxacZ7aY33/OJKa2ezhksc9JreZQ=,15,40,male,9,2007-04-12,2017-10-15,3839,30s,2007,4,3
EOsWtgqVs56UlhUa4uR0kASVsU4GSh9+HnAlXaIDevo=,6,22,male,3,2012-10-06,2014-08-15,678,20s,2012,10,5
mOU77s4b+gAEKPdI3H9pIhRHqFofhx5GzmaAx+RVCa0=,13,43,male,3,2012-05-23,2017-09-30,1956,40s,2012,5,2
zGiauMyJyr4CxXJQAUKG/5lhocMnAvLgjNX1hYv9z10=,15,32,male,9,2008-11-08,2017-09-16,3234,30s,2008,11,5
GTbfvvb81RMQ08gY+xhny40R9DK9nWhQ69i098TiRKY=,5,29,male,3,2012-11-27,2017-09-10,1748,20s,2012,11,1
qUm7bSVnds6MEBGkGPkRgoSN7Gx0y9eRIrpNidArIvQ=,5,29,female,9,2010-04-13,2017-09-25,2722,20s,2010,4,1
/hSx5KLCz5H2WyOp6UFETSNGm39nTh1sFCjI9EQuRtg=,13,36,male,9,2004-11-25,2017-09-30,4692,30s,2004,11,3
2plRBVTnpajAwfNkkbga6mesyNkGVl4EhK05y8nOuPI=,4,23,female,9,2017-01-29,2018-03-01,396,20s,2017,1,6
lrYQPNF/q4Z1md/NLHzTQ0ZoETJkqwvhG6Hof/xWVJE=,13,24,female,9,2010-02-11,2017-06-08,2674,20s,2010,2,3
DMtHy+Q7sXuCq/NsGY2QNZIvKBDIvahaSc3+eGBp3sU=,6,26,female,9,2007-08-14,2017-09-07,3677,20s,2007,8,1
78wAbOypkWRtekIiT3Quugmy6N9XnlYZXYtxbRUgYSU=,5,33,female,3,2013-09-21,2018-04-29,1681,30s,2013,9,5
9lxMEbCzF/uJ8pdfHP9ZRhf/6MoQ4qDtxMB5n5GuEac=,5,22,female,9,2010-01-05,2017-09-24,2819,20s,2010,1,1
rzRHWIV9HGLMaev6V/AEEVeQfjt4d4YsmaKsaQnVIF8=,22,25,female,3,2013-12-27,2017-09-30,1373,20s,2013,12,4
xOcnM7P99ahRBFLyDk3AH49r7BitiiMjSgTIk28gpsQ=,15,44,female,7,2013-01-29,2017-09-30,1705,40s,2013,1,1
i4zdpjMtoFpllR0wsZm/g65HzQiPSsy+BMG8oNt/QOA=,15,21,female,3,2012-09-21,2018-03-03,1989,20s,2012,9,4
WCyOVqEdenRlXvP2RhxOeEG9zIJRvBG4JQV9XGi+Q3Q=,13,27,male,9,2014-05-13,2017-10-06,1242,20s,2014,5,1
ygOANYHHdsj8duw+BIEln3OUlRb/OoVzZn8ctjIMMqI=,8,20,male,4,2016-10-29,2017-09-24,330,10s,2016,10,5
K1qyFCWULwJxI9KAkr73f7EblafmRyVDkBxSk13HbOI=,10,23,female,3,2016-03-21,2016-03-24,3,20s,2016,3,0
+45CbJ0FesVNGJOY36mrrXFm1tkHwNyebp6qAXEc/Go=,4,27,female,9,2011-10-16,2017-10-20,2196,20s,2011,10,6
xpOF8Pot4TxP0RQluF61Xb8d+IExmUcV4hGR09+v59Y=,15,31,male,9,2011-01-10,2017-02-05,2218,30s,2011,1,0
k+ccGJY0TBD7SzJfLXERejTMpJE66XuWe8uGNAMM6Ew=,14,34,male,9,2014-08-29,2017-09-07,1105,30s,2014,8,4
CAZLkjiK3XINBcaaeR/cAjVEUrFyW9Jg3FNHtttOy4s=,13,25,female,9,2010-08-20,2017-10-01,2599,20s,2010,8,4
iQ33vEIDhUoO2pkhxmiXICzud+juItnyYfWOK4GZXzc=,5,29,male,7,2016-09-03,2017-10-03,395,20s,2016,9,5
75mf20ZFTf8PwxAZokKfgyNvw/AwIVefpzzUnRnfVas=,1,20,male,3,2015-01-22,2017-06-27,887,10s,2015,1,3
Og1crvGtM83q9jZ0uOXUuV23rhTRkjHeQmGxBUaLDwg=,13,21,female,3,2012-06-12,2017-08-13,1888,20s,2012,6,1
pdLOsnsv32cCjmRS3jvolzkKUvrLCNmfZjSp5uGZ/dk=,13,15,female,9,2013-04-17,2017-08-03,1569,10s,2013,4,2
dQNBp2Y0LchbrbI6R2bGD+nf9Mm6Wc/+Isi18qVjX4Y=,22,27,male,3,2014-01-30,2017-07-18,1265,20s,2014,1,3
w85erKkkZB7xYCTD3Qt1pwbjdH2Vn+plKJJVhrGUAJI=,14,27,female,9,2016-02-24,2017-10-01,585,20s,2016,2,2
pLcwoHXWR2HWl3vZW86De0rUJFspKegGjF9daid3c4Q=,4,29,unknown,9,2015-03-08,2017-09-27,934,20s,2015,3,6
hPn6PsLoyOC5xiXzK2PlsRL02GkVAc73d0F54KoBs0A=,13,39,male,7,2010-05-11,2017-08-24,2662,30s,2010,5,1
hjUw/9VjfcC+aaWsm8d1np2VYmswE1T4/WFEABCOdHE=,22,25,female,3,2013-07-06,2017-09-30,1547,20s,2013,7,5
ANccxTfC1S2RJ68pLsH0/aK8ogJfcdBFRW2OHJdkxGw=,1,21,female,4,2016-02-23,2016-12-01,282,20s,2016,2,1
3yBpYWqEybBPazsqB5NIhrXKCFe1Djn5orPBvxz9ArE=,4,29,female,9,2005-12-30,2017-10-03,4295,20s,2005,12,4
ti4oe/Uq4OdSwAKlQWYsDewvbI3ZWFYyJriaEP7hCrI=,22,25,male,4,2016-04-06,2018-01-07,641,20s,2016,4,2
NZ82fmgCMRTIh1U83eSmyL2BmoKZwEPeuZ0u+PKE0as=,10,39,male,7,2010-12-04,2017-09-16,2478,30s,2010,12,5
ibuNCWCg3RBUhQ9rkUAx/TVSLCO+nwa4Pkcoe3XYZP0=,8,23,male,9,2007-09-08,2017-09-30,3675,20s,2007,9,5
x48B9k6YLX2GuObcBA4pRXUDwayJcw4RTxRekT9YHuI=,6,26,male,9,2006-12-24,2016-12-07,3636,20s,2006,12,6
8IqjRGDhfaXYBCSF9dPG8YvOUuD0Qynh5szShB1VGJ0=,22,19,male,9,2015-08-27,2019-12-29,1585,10s,2015,8,3
xQ0B6i7NEE0VJa/SlAcqZHy11CV7z3sVtH+OhrgbVJA=,6,22,male,9,2008-01-23,2018-02-15,3676,20s,2008,1,2
PwnWgkloewAh6nr1MpRnSm6jbrltEb328ifDj7ccDZc=,19,30,male,3,2015-08-15,2017-09-10,757,20s,2015,8,5
DindKHOe4eYlZQv9Cxc+INpxgMe34+WUMnpyiFJ1HU4=,20,20,female,3,2015-04-14,2015-05-05,21,10s,2015,4,1
3Sj/BxQm7JmCijYEft4sPHKhqthOM8lmQThpYCoJUgs=,1,19,female,3,2016-02-21,2016-02-24,3,10s,2016,2,6
sqAhFY1x7iTbHYkmFxMFbdq4QGq3+2UUdefQr4OMw+g=,22,37,male,9,2009-01-29,2018-10-10,3541,30s,2009,1,3
qhErMYh10vp6HYwwgE+ZiMog3vJB8tzlYaHr2f7JBx4=,1,40,male,4,2016-08-10,2016-08-13,3,30s,2016,8,2
FIWHr99UQida679JlXj2Y72PgNq4iMeKdcm1KHXSi08=,13,22,female,9,2011-01-21,2016-11-26,2136,20s,2011,1,4
8ITPBYwbzS/rfJs2h8+1tnOf2e3AqJ5mmsGuyIXQND8=,4,25,female,7,2014-11-13,2017-09-30,1052,20s,2014,11,3
nvbqHyhyvYBv/yho7k1jyn6mx8rLbYchC5eVUR4xGrs=,17,15,male,4,2016-11-17,2017-06-13,208,10s,2016,11,3
HZykoHL6T7YcO50XiCxQfrt+aQAjTP2JiaKjOdYvyH0=,13,22,male,9,2008-11-30,2017-07-05,3139,20s,2008,11,6
pPxBiEDNLc3eQed8VOAIGJyU/oXAHM7N0gaEb3ISalI=,14,21,male,9,2009-10-01,2009-10-02,1,20s,2009,10,3
tJTAw/WL6LKLp0bPcN1Q3uDc6Ay7Np8GJcvRdcoQyyo=,14,35,female,9,2005-11-11,2018-05-29,4582,30s,2005,11,4
53Ocm9vceogdvrktmkCNq3Yh4aOZmLZBhoTcwFYA/+g=,15,26,male,9,2009-06-16,2017-09-20,3018,20s,2009,6,1
kV2UEPlHXS5Dn12IqBkvOylPBg1IZ30Mr3Hh9rVhzHc=,13,22,female,3,2015-01-19,2018-05-25,1222,20s,2015,1,0
wprQtqqhCDdZhxFcYXW5OWsVVTV2m966eMi7sli+dpQ=,13,31,male,9,2007-06-08,2017-07-13,3688,30s,2007,6,4
CSlv2kFBCwToM2WSwyDdOEfVhQSJc+4xGUTckmJCnI8=,15,28,female,9,2005-10-21,2017-10-15,4377,20s,2005,10,4
f0Z7Bnqi3ENMGpJBCrp3DVKWz/FbMX23yUOHMBxuiRo=,8,25,male,9,2011-02-07,2017-09-30,2427,20s,2011,2,0
qinE/LI1AX478gApqq6Z3XoWAn+Muug8Ts3MrAVNg6I=,13,41,female,9,2011-01-04,2017-10-20,2481,40s,2011,1,1
VVuGdaa334kc2lcZ1JjNh6kNNOuek7mDwGA/trMOrlE=,13,28,female,3,2013-12-01,2017-04-30,1246,20s,2013,12,6
PIkbjly6A3OhAzBgFmJNizoKjnqxfTJl0AVQRt+nO/8=,15,25,female,3,2012-08-10,2017-06-04,1759,20s,2012,8,4
2MXlhK+/Ewaz5rroZUjnEFubb/7MdRVbMTrWXB52msc=,11,26,female,9,2014-01-30,2014-01-31,1,20s,2014,1,3
jaWBKkhyY+pd9cv/jCRLnBc61RcqnGlzY8hqfOSLsAI=,5,29,female,9,2011-12-01,2017-06-01,2009,20s,2011,12,3
fj+VBbWZfL+Tq9GpIs2AKRdsAAD10E5KoIzmWijQLqk=,15,25,male,9,2004-07-26,2017-10-15,4829,20s,2004,7,0
S2Pbj7oex6Rtn1Dp4zxqoVlSc+74XRhKAyDNgMZsveU=,13,22,male,4,2015-10-25,2017-08-16,661,20s,2015,10,6
RH+XBLmw8F/WFWq+7aBfQGFHQJH2b/0Xz+7seWptXVM=,5,34,male,3,2014-03-02,2017-06-23,1209,30s,2014,3,6
qk4tooaZEoXFAJtONX3ZjLFvfY68byFY5advVZHEgMM=,13,33,female,3,2012-12-05,2017-12-16,1837,30s,2012,12,2
9PdhifbOYrib4CABNRpIVhw4hCUYkmFMYV3BLw0fdoo=,5,31,male,9,2006-10-11,2017-09-30,4007,30s,2006,10,2
qUlkRsKTULNX/ztRr7HRQoLPY7RSAUloDKXSkTkLRkE=,13,27,male,3,2015-10-16,2017-09-17,702,20s,2015,10,4
MW4Mkg3f900rrm4hF9ihKc2WLeUQILjJjC3l9tp9Es4=,13,20,male,3,2012-10-24,2017-07-13,1723,10s,2012,10,2
3fVbVWOh1B6JjhM4dY/tnJ3ZpS2diyGoUvQtusgN8tk=,4,31,male,7,2011-08-16,2017-10-06,2243,30s,2011,8,1
X4uyFRFm2fHVaeL+IBsXBgr4zJmFH7afpaW+BcIQ/3A=,13,34,male,9,2005-12-04,2018-02-26,4467,30s,2005,12,6
Yy041UeRdkNBnIntpzbLG6u/l/aqonNFE0Va5+nxGZk=,17,35,male,9,2007-11-08,2017-09-30,3614,30s,2007,11,3
uzQuujpWHNRf9xZRKY3mWoXN52OBV2jA1/+cLtHRDus=,9,17,female,4,2016-03-18,2017-04-23,401,10s,2016,3,4
5nlEJxgjONxC106IBCi6viX1mQHzNT6LW1tYynwATi8=,4,36,male,9,2007-12-22,2017-09-17,3557,30s,2007,12,5
wRz4wStyD2I2eomMp4u8+s124YbuX8KKuqDt0y33iAw=,6,35,male,3,2015-01-23,2017-02-05,744,30s,2015,1,4
NeYMMLV87VzYR94NvVA5W0AVquV8+orPTuK1N4aplSg=,14,35,male,3,2016-01-21,2017-09-09,597,30s,2016,1,3
agqcuE92GrIN3uC1E1As1g21GzyPr5QIBfbdY9sRrco=,6,38,male,4,2017-01-12,2017-02-14,33,30s,2017,1,3
lq7QHsMHoH8EH04dgM25DAA8mmWkOtEVo8tWMFJDVoY=,22,31,female,9,2011-10-28,2017-10-29,2193,30s,2011,10,4
y7mhTGmm2CkrzKqJifrgkAzdJpokKb7DwFF57kvqAi8=,13,38,male,4,2016-06-13,2017-10-16,490,30s,2016,6,0
nneMVsAv9R4SWdSWynUyhEy67HpLQzZEFNvPkaSNS3g=,13,41,unknown,3,2014-02-14,2017-09-27,1321,40s,2014,2,4
z4PxUg+UOvwWEe8g5iCBko7orxITX1iblNDrwQ9moiA=,4,20,female,3,2015-10-17,2016-11-01,381,10s,2015,10,5
NzxFYmHEK32NaephTO2QGtxiR93Cf7U/Tp6jkoY25WE=,13,21,male,3,2012-08-24,2017-08-19,1821,20s,2012,8,4
3UvOQLlKbAn0C1XFaPrhBG14zIb0KkI6A3gjhlTxGhw=,22,29,male,7,2013-11-30,2018-01-25,1517,20s,2013,11,5
INatfgQ703kNuvFynCT1zhOVGl2EWw6YDsxYfrpFlsk=,15,18,male,3,2014-02-18,2016-12-22,1038,10s,2014,2,1
8zKlJ2ZeNezauLqL5nvOeT8uiylVyHfwirD17LuWtEs=,4,27,female,9,2008-05-10,2017-10-09,3439,20s,2008,5,5
SY+yRSaKtINI0rAHLypT6n63SeDCEdgpuWwc3sboJlM=,15,25,male,3,2015-01-16,2017-09-03,961,20s,2015,1,4
9VXz26ESh7NFuiMGGjMAdlEkBfA1kDsCZh/2y2k6fQE=,4,37,male,9,2004-11-17,2017-09-30,4700,30s,2004,11,2
zN+sF4052T1dgFfswvac2naXGCLVwoudExG69gO83Qk=,22,29,male,3,2012-06-24,2017-09-30,1924,20s,2012,6,6
UwrQpls5/fz2NnUyP+ZxD2Bk2EiD2lHPkHZQmR/fP5w=,21,21,female,9,2015-04-20,2018-04-02,1078,20s,2015,4,0
dzvHtGb75Ve38nXMns+Wu7xoUkraM7dEfRwk2YOG64s=,15,16,female,3,2013-07-17,2013-07-24,7,10s,2013,7,2
woffK5EuJ9dlYn5sRiT8zRyw4M+qtjH74/e5AOHNppI=,13,32,female,4,2016-09-14,2017-03-19,186,30s,2016,9,2
nykscFmHOA4P0HkbnOo1M4BXT9zx8Is6MCzKZfVawPA=,8,16,male,3,2016-10-29,2017-09-23,329,10s,2016,10,5
9222m7kAFqFS3KmvhhsTyC5zwofasnxvtM6YzLLuZLY=,21,22,male,9,2011-11-12,2017-08-10,2098,20s,2011,11,5
Ii7dJ9F2aAxtuUmrw45C6LyQj9DaN0v1KFpy5hiuc6U=,13,17,male,9,2009-02-20,2016-12-13,2853,10s,2009,2,4
NYNGtIyO3jIUuSHj6N8zLc3Epg6zHMHKQPPrrAuo3rM=,16,52,female,9,2012-07-19,2018-01-26,2017,50s,2012,7,3
K5g55JIPQfCVIr9nVquvn/wFPkYleKx/jSIURpYeS8w=,5,33,female,7,2016-02-20,2017-02-18,364,30s,2016,2,5
PFq64L0BP7zECyPQfv9u79om/106vIFNyozXqqcAa2Q=,13,25,male,9,2006-09-23,2017-09-11,4006,20s,2006,9,5
PbSQ2KxR4gRnzjsRd8Up75qMYb70iuMwGk10/jPRljk=,5,33,male,9,2011-09-14,2018-02-07,2338,30s,2011,9,2
TzjBKR/SGxToMiN59ymjtPXN99xCldod27TboBq67Tc=,11,34,female,9,2016-03-19,2017-10-06,566,30s,2016,3,5
mo52V4+me7ORj97LutCtoMbtsfS6QHfex3TnkGM6WSk=,13,17,male,3,2012-06-09,2012-06-16,7,10s,2012,6,5
ahQO+qlZB29HKHnLHSs8Em8mFeE9zN3M38chz74//PE=,4,23,female,3,2012-07-29,2015-06-15,1051,20s,2012,7,6
LsJZH2IGVkNwPUyGRDA2kbSNpmQ5NJ+0ZNRJgTJOZ9c=,13,26,male,9,2011-10-18,2017-09-30,2174,20s,2011,10,1
hWyGlErTqozoq//R/TefpB2kazztoMl24L6kr7fdwwQ=,10,42,male,9,2009-02-15,2017-07-08,3065,40s,2009,2,6
OY746bvfT5cVrPSrg6xtl+pd0LBRTLFhZ38JIWzKzJY=,13,35,male,9,2009-02-12,2017-09-30,3152,30s,2009,2,3
XIein8umHFq+tJjs0utFE3hz3qBzbQc4AbdvpwvcQ30=,6,19,male,4,2016-10-21,2016-12-29,69,10s,2016,10,4
nmaOfKf85C2Ns8joYz4UmCOBiN2ek5kEHhYXQELmzdM=,15,29,female,9,2012-06-08,2017-01-19,1686,20s,2012,6,4
uu/CAlrSgSyeUrquqRCFsS1duuIpUtBwifC7PLwzDCk=,13,19,female,3,2013-05-04,2017-09-09,1589,10s,2013,5,5
YdiyhqmDlNFhVHcgn6RGEBljUDkmnRoV2U4hhN1mYH8=,22,22,male,3,2013-11-11,2017-06-10,1307,20s,2013,11,0
VdWs0kj5US91C5rBFl1KZ8thGZRJxHyiozL7UmQU9TE=,18,21,male,9,2010-12-01,2017-10-11,2506,20s,2010,12,2
TyF9CIMndYCII44spHLJ39YSY1vg4dTL16EWIZxnCkA=,15,26,female,9,2012-06-03,2017-08-07,1891,20s,2012,6,6
9CxYJ1jHWaCZHqloIldB/bFFD25yWU/Ae8S/JlNY+LQ=,15,28,male,9,2016-08-08,2017-09-25,413,20s,2016,8,0
jSgpHWJk8uLYkVvrdBvvqCRCsclrEVZU4NyVSpu+Wis=,4,17,male,4,2016-06-14,2016-11-13,152,10s,2016,6,1
gGHdfA/CZswpvs8oWNzqgGkc5JfYGqut1arwLVnAMyY=,13,36,female,3,2013-03-18,2017-09-10,1637,30s,2013,3,0
UJJk0ECMmNnHlOCAyHXhw90FnL4iZ/s+f2xyvOWb/bE=,1,24,female,3,2014-08-14,2015-08-08,359,20s,2014,8,3
eNVYniL0lcyJXEhMg8PvGPGUy9WGq6Gkq0cC431qLFs=,5,38,male,9,2012-09-18,2018-03-09,1998,30s,2012,9,1
t/EIaqsRGMritgC1SLE6GR3orcG43rQYBN6YfV4GM+E=,5,24,female,4,2016-08-22,2017-10-18,422,20s,2016,8,0
TxCjHMxPFp7glH4j/3ouFx7tgXfrzY1LICBWb1W2kZg=,13,29,male,9,2011-01-07,2017-09-30,2458,20s,2011,1,4
2qvGg0mVO7vSgwimIB8Bxb+bLCUTK94gaj+kGscLVuQ=,11,55,female,9,2014-04-17,2017-10-18,1280,50s,2014,4,3
Bi8nWsMUiNvwebPuYDaNljhz0i8+nWfzwwsi9NDDIC8=,5,25,female,9,2013-02-16,2015-06-15,849,20s,2013,2,5
6immd8Pcdd92oP7+9pxahiGnsfZ1h3xL6EsLN9Qu26Y=,13,30,male,9,2007-11-02,2017-09-18,3608,20s,2007,11,4
Zdzltdc1bMc6S3Q0sGMqKsUxg9jwNZzcJx+MN4VULh4=,4,29,male,9,2006-07-08,2017-09-18,4090,20s,2006,7,5
Jgix2DkPFUACeG9rs3BvX4uHSY/TQnV93drncSoFxfg=,13,35,female,3,2014-04-28,2017-09-19,1240,30s,2014,4,0
0tY4drfr65Ze1lU33LYEOwZMOF1TmbG8FS/HqIx18ro=,6,33,male,7,2013-02-24,2017-10-05,1684,30s,2013,2,6
u/E4/R+TR1E0DcMSidxEjq9jSNIT5UFIPDr/FTh2IbQ=,9,22,male,3,2013-10-19,2018-03-04,1597,20s,2013,10,5
LhQdgzDkjo0OKkVaA6/oRvtVc/yPET5T+F8VvysOdE4=,1,42,female,3,2016-09-11,2017-07-10,302,40s,2016,9,6
EuyAySKWA3AKAcOCwDjXqij01QMMgBzhBtDS8aT27Eo=,4,20,female,4,2016-08-31,2017-06-10,283,10s,2016,8,2
tKqES79e2Zi1/veDRUOQloArKxzsnJhT196cyCT16yg=,22,31,female,9,2017-02-10,2017-09-10,212,30s,2017,2,4
+KcGeU7PoOQUmuK6cH0mcG1rusYuN38NwzbdUcxpomw=,13,20,male,9,2015-02-06,2016-03-23,411,10s,2015,2,4
wWynMNYAbIl6kfZn7ga2+txHviSKCsXgkiD3kZjc7To=,1,16,unknown,9,2017-01-03,2017-12-31,362,10s,2017,1,1
APCXGnWAUReOHThQPqPBY17CPMdm7lDWFpO6Yp4YEXg=,15,21,male,4,2016-03-11,2017-02-24,350,20s,2016,3,4
EizIQTeKpoxBkyp4I8kScr005prwn29KAIS1WZ3AI5w=,6,16,male,3,2015-02-27,2017-01-24,697,10s,2015,2,4
mTWZhAZRO0bVg0boXg+Lj7Nl255m7KFtdX5XbuA0DEM=,13,24,female,9,2013-06-04,2017-10-01,1580,20s,2013,6,1
LgROmAeOBspe8pR3svatQHrDRkGrocFyHjLnkb+640A=,6,46,male,9,2008-09-01,2017-06-15,3209,40s,2008,9,0
3bMP8nrWzlfw8f5576/PWO+hMn55bdQmnT2w7xKyl/Y=,18,26,female,9,2009-10-18,2017-08-16,2859,20s,2009,10,6
9Wma46lb3ByvRfoxz3pnXDuq+pg8VZvpdwbEcNjykPQ=,12,24,male,9,2012-11-16,2017-10-06,1785,20s,2012,11,4
/tFG33EMQ6m1ZBY2RbFIqKqyhwqnx8qL1VzHdWkAuMA=,22,25,female,9,2007-07-15,2017-10-03,3733,20s,2007,7,6
sMmZDbKl9FrN9Z9hQcafBuOf0lRbnS4RhfYUAN3+Zm4=,5,41,female,4,2016-11-22,2017-06-17,207,40s,2016,11,1
R9o5y2gKYYAGU0vQm7t8p9VIT2GQVIRayFEH2aeRZto=,13,27,female,9,2010-11-20,2017-10-24,2530,20s,2010,11,5
rlH0HZE6uYDF2pMR9vKLeEH9BTtO/P/cBYLYkxPCe+M=,14,19,male,9,2016-08-14,2017-10-04,416,10s,2016,8,6
kEQNZecvgjwL+dJnC8dlbEkNOtLZQK1Xa7b+B+4r+n0=,4,22,male,4,2016-12-25,2016-12-28,3,20s,2016,12,6
KtWz20WLs6QM+Ih7hgvyYUmGfuyRB3bqWTjy1YPSVd4=,13,20,male,9,2008-10-04,2017-09-23,3276,10s,2008,10,5
BrSGNsRUmEGoAjG5qX/FQzqiRGCmj/YSQi9V+vRxs1w=,13,31,male,9,2014-09-20,2017-11-17,1154,30s,2014,9,5
L5OeJTj0gd0hQRRjChrnSD4C1CnwhJX67sOsZZ6+64g=,5,25,female,4,2015-10-13,2017-03-12,516,20s,2015,10,1
gNS40u1/eb1U8nJyugxg5Sa0rdPctQvPbjWahzcZmdY=,4,19,male,3,2013-11-23,2017-10-10,1417,10s,2013,11,5
